feature_1,feature_2,abs_corr
NumAromaticCarbocycles,fr_benzene,1.0
MaxAbsEStateIndex,MaxEStateIndex,1.0
fr_COO,fr_COO2,1.0
fr_Ar_NH,fr_Nhpyrrole,1.0
fr_phenol,fr_phenol_noOrthoHbond,1.0
MolWt,ExactMolWt,0.999998567553185
Chi1,HeavyAtomCount,0.9987420166639013
MolWt,HeavyAtomMolWt,0.9968500699143525
HeavyAtomMolWt,ExactMolWt,0.9968205134359076
Chi0,HeavyAtomCount,0.9959574040151589
NumValenceElectrons,Chi0,0.9947715024020379
LabuteASA,HeavyAtomCount,0.9943226200099875
Chi1,LabuteASA,0.9928663617560393
Chi0n,Chi0v,0.9927921126829856
Chi0,Chi1,0.9909318689694699
fr_Ar_OH,fr_phenol_noOrthoHbond,0.990791571481601
fr_Ar_OH,fr_phenol,0.990791571481601
fr_Al_COO,fr_COO,0.9906646779932768
fr_Al_COO,fr_COO2,0.9906646779932768
NumValenceElectrons,HeavyAtomCount,0.9906499846052471
NumValenceElectrons,LabuteASA,0.9904768521458877
ExactMolWt,HeavyAtomCount,0.9895860323094304
Chi0,LabuteASA,0.9895368817112123
Chi0n,Chi1n,0.9894815658050473
MolWt,HeavyAtomCount,0.9894251172339711
Chi0v,Chi1v,0.9887905881606242
Chi0v,MolMR,0.9886947200438349
ExactMolWt,LabuteASA,0.9884945138550073
MolWt,LabuteASA,0.9884170840923486
ExactMolWt,Chi1,0.987414984299584
MolWt,Chi1,0.9872715795822938
ExactMolWt,Chi0,0.9870103328397806
MolWt,Chi0,0.9868076815499566
NumValenceElectrons,Kappa1,0.9865922797151937
LabuteASA,MolMR,0.9859781722924361
NumValenceElectrons,Chi1,0.9850707199121262
Chi1n,Chi1v,0.984008908394325
HeavyAtomMolWt,HeavyAtomCount,0.9829077054902253
HeavyAtomMolWt,Chi1,0.9821608593167623
ExactMolWt,NumValenceElectrons,0.9814357790369164
MolWt,NumValenceElectrons,0.9812236854845561
Chi0v,LabuteASA,0.9807864013286397
Chi0v,Chi1n,0.9805841074754889
Chi0n,MolMR,0.9805542345950177
Chi0,Kappa1,0.9801575432880187
NHOHCount,NumHDonors,0.9800234011799924
Chi0n,Chi1v,0.9783344058228625
HeavyAtomMolWt,Chi0,0.9781572847296928
HeavyAtomMolWt,LabuteASA,0.9766215252373279
Chi1v,MolMR,0.9765652766101944
