target,feature,abs_corr,corr
"IC50, mM",VSA_EState4,0.2742028526831997,-0.2742028526831997
"IC50, mM",Chi2n,0.25705778225330866,-0.25705778225330866
"IC50, mM",PEOE_VSA7,0.2559881941140835,-0.2559881941140835
"IC50, mM",Chi2v,0.24916438883301376,-0.24916438883301376
"IC50, mM",fr_Ar_NH,0.24551146801492643,0.24551146801492643
"IC50, mM",fr_Nhpyrrole,0.24551146801492643,0.24551146801492643
"IC50, mM",Chi4v,0.24360024334252597,-0.24360024334252597
"IC50, mM",Chi4n,0.24349740851828258,-0.24349740851828258
"IC50, mM",Chi3n,0.23974072598128543,-0.23974072598128543
"IC50, mM",Chi3v,0.23775923177354172,-0.23775923177354172
"IC50, mM",SlogP_VSA5,0.23639338845413113,-0.23639338845413113
"IC50, mM",Chi1n,0.22982774657005048,-0.22982774657005048
"IC50, mM",Chi1v,0.21980971405085034,-0.21980971405085034
"IC50, mM",MolLogP,0.21838734866963055,-0.21838734866963055
"IC50, mM",fr_nitro,0.21594818452749595,0.21594818452749595
"CC50, mM",MolMR,0.31011053430379504,-0.31011053430379504
"CC50, mM",LabuteASA,0.30919131410921963,-0.30919131410921963
"CC50, mM",MolWt,0.306439311278866,-0.306439311278866
"CC50, mM",ExactMolWt,0.3063815919789961,-0.3063815919789961
"CC50, mM",HeavyAtomCount,0.3051690289064645,-0.3051690289064645
"CC50, mM",Chi0,0.3047920906006519,-0.3047920906006519
"CC50, mM",Chi1,0.3043797985824561,-0.3043797985824561
"CC50, mM",HeavyAtomMolWt,0.3031631557437736,-0.3031631557437736
"CC50, mM",Kappa1,0.30220568516069946,-0.30220568516069946
"CC50, mM",Chi1v,0.30152542531244875,-0.30152542531244875
"CC50, mM",NumValenceElectrons,0.30147349785006006,-0.30147349785006006
"CC50, mM",Kappa2,0.300471183833884,-0.300471183833884
"CC50, mM",Chi0v,0.29682281015530715,-0.29682281015530715
"CC50, mM",Chi1n,0.29473461389514205,-0.29473461389514205
"CC50, mM",Kappa3,0.29451258491940707,-0.29451258491940707
SI,BalabanJ,0.16295534279196808,0.16295534279196808
SI,fr_NH2,0.1604697357275202,0.1604697357275202
SI,RingCount,0.12444380028389297,-0.12444380028389297
SI,fr_Al_COO,0.1024144812555697,0.1024144812555697
SI,fr_COO2,0.10111528668457925,0.10111528668457925
SI,fr_COO,0.10111528668457925,0.10111528668457925
SI,NumAromaticRings,0.08806384965095045,-0.08806384965095045
SI,VSA_EState4,0.08783682761449582,0.08783682761449582
SI,FpDensityMorgan1,0.08734077575347797,0.08734077575347797
SI,VSA_EState6,0.08299514086805979,-0.08299514086805979
SI,NHOHCount,0.07914344300017051,0.07914344300017051
SI,fr_benzene,0.07831077022115912,-0.07831077022115912
SI,NumAromaticCarbocycles,0.07831077022115912,-0.07831077022115912
SI,SMR_VSA7,0.07652055006778825,-0.07652055006778825
SI,AvgIpc,0.07562568844415814,-0.07562568844415814
